"","GEOID","state","county_name","distance_nearest_hub(mile)","nearest_hub_name","nearest_hub_id","hub_county_geoid","hub_county_name","hub_products","hub_desert","geometry"
"22","02090","Alaska","Fairbanks North Star",40.7312757259996,"Fairbanks Food Hub","501297","02090","Fairbanks North Star",NA,TRUE,c(-2743959.40615591, 5268131.00947858)
"23","12065","Florida","Jefferson",144.463681020205,"Florida Fresh Meat Company","500193","12083","Marion","Eggs;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(1157343.71418353, 891738.264868434)
"24","13185","Georgia","Lowndes",127.672129241902,"Farmers and You","500274","12107","Putnam","Fresh fruits;Fresh vegetables;Coffee/tea;Fish/seafood;Wild harvested forest products;",TRUE,c(1211133.48830942, 943237.288130209)
"25","13127","Georgia","Glynn",98.9937619863531,"Gullah Farmers Cooperative Association","501263","45013","Beaufort",NA,TRUE,c(1367526.83249086, 1010390.43965147)
"26","13051","Georgia","Chatham",42.9905777724077,"Gullah Farmers Cooperative Association","501263","45013","Beaufort",NA,TRUE,c(1392375.75579334, 1101391.06721603)
"27","13179","Georgia","Liberty",67.1898965735893,"Gullah Farmers Cooperative Association","501263","45013","Beaufort",NA,TRUE,c(1361748.18970048, 1076773.31041896)
"28","13073","Georgia","Columbia",16.4042685278479,"Augusta Locally Grown","501261","13245","Richmond",NA,FALSE,c(1262457.56141265, 1255436.47926454)
"29","13137","Georgia","Habersham",52.4581041784378,"WNC Farm toTable","500214","37099","Jackson","Fresh fruits;Fresh vegetables;Baked goods;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Maple products;Mushrooms;Soap/body care products;",TRUE,c(1130813.08751923, 1359809.22541009)
"30","16041","Idaho","Franklin",91.6993938140443,"208 Food Hub","501293","16019","Bonneville",NA,TRUE,c(-1291552.36574879, 2238857.57220716)
"31","16033","Idaho","Clark",57.0811558469783,"208 Food Hub","501293","16019","Bonneville",NA,TRUE,c(-1294918.60566508, 2477661.61194184)
"32","16079","Idaho","Shoshone",73.7858762842123,"LINC Foods","500065","53063","Spokane","Fresh fruits;Fresh vegetables;Dairy products;Dry beans;Eggs;Grains/flour;Honey;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(-1500661.89703904, 2864198.91247382)
"33","17031","Illinois","Cook",2.39069451009081,"Moss Funnel Farms","500079","17031","Cook","frozen blueberries;",FALSE,c(673961.689685234, 2122005.14128501)
"34","16073","Idaho","Owyhee",69.2049591906033,"Global Gardens Boise","500226","16001","Ada","Fresh vegetables;Wild harvested forest products;",TRUE,c(-1633008.64656365, 2349736.68996142)
"35","16035","Idaho","Clearwater",79.5858818942411,"Western Montana Growers Cooperative","500017","30063","Missoula","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Poultry/fowl meat and products;Red/other non-poultry meat and products;Wild harvested forest products;",TRUE,c(-1498693.82048618, 2787156.40112777)
"36","18123","Indiana","Perry",45.8213147037275,"New Root's Fresh Stop Project","500062","21111","Jefferson","Fresh fruits;Fresh vegetables;Eggs;Herbs;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(812123.683053063, 1711775.31762718)
"37","18075","Indiana","Jay",44.7047421086998,"Plowshares Cooperative Food Hub","501169","18003","Allen",NA,TRUE,c(922634.175889801, 1989465.81984466)
"38","19045","Iowa","Clinton",26.4017176628993,"Quad Cities Food Hub","501165","19163","Scott",NA,TRUE,c(450241.496198711, 2112469.6606008)
"39","04009","Arizona","Graham",61.9200890068476,"Copper Communities Food Hub","500178","04007","Gila","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Honey;Wild harvested forest products;",TRUE,c(-1286212.78646186, 1189853.05017044)
"40","19195","Iowa","Worth",74.0590340683749,"Iowa Food Hub","500215","19191","Winneshiek","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Cut flowers;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Maple products;Mushrooms;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(220872.670648885, 2268031.55224352)
"41","20199","Kansas","Wallace",162.78526261172,"Food to Power","501099","08041","El Paso",NA,TRUE,c(-494793.147413508, 1780566.65703869)
"42","01117","Alabama","Shelby",101.41275540598,"Farm Food Collaborative / Food Bank of North Alabama","500138","01089","Madison","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Eggs;Herbs;Juices/non-alcoholic ciders;value-added products (kombuchas, krauts, etc.);",TRUE,c(863028.189894933, 1175228.82299874)
"43","01055","Alabama","Etowah",56.8823643832157,"Farm Food Collaborative / Food Bank of North Alabama","500138","01089","Madison","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Eggs;Herbs;Juices/non-alcoholic ciders;value-added products (kombuchas, krauts, etc.);",TRUE,c(911548.154784744, 1267873.09221613)
"44","01051","Alabama","Elmore",125.083127697014,"The Common Market Georgia","500112","13121","Fulton","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Coffee/tea;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;Tofu/non-animal protein;",TRUE,c(917858.040047489, 1105908.9092275)
"45","01099","Alabama","Monroe",117.712613925888,"Ocean Springs Fresh Market","500016","28059","Jackson","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Mushrooms;Nuts;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;",TRUE,c(815194.724354003, 981031.646438394)
"46","21095","Kentucky","Harlan",25.0987401927057,"Appalachian Harvest","500142","51169","Scott","Fresh vegetables;Canned or preserved fruits/vegetables;Herbs;Wild harvested forest products;",TRUE,c(1125604.88494065, 1610541.49179156)
"47","22075","Louisiana","Plaquemines",43.7037456262341,"Sankofa Fresh Stop Market","500118","22071","Orleans","Fresh fruits;Fresh vegetables;Baked goods;Cut flowers;Eggs;Fish/seafood;Herbs;Honey;Juices/non-alcoholic ciders;",TRUE,c(619700.898839401, 728174.753219796)
"48","22117","Louisiana","Washington",61.4740829232241,"Sankofa Fresh Stop Market","500118","22071","Orleans","Fresh fruits;Fresh vegetables;Baked goods;Cut flowers;Eggs;Fish/seafood;Herbs;Honey;Juices/non-alcoholic ciders;",TRUE,c(568081.790594241, 881980.256407813)
"49","22017","Louisiana","Caddo",159.68610287703,"Profound Foods","500209","48085","Collin","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Grains/flour;Green household products;Honey;Mushrooms;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;meal kits;",TRUE,c(197710.637148077, 1058651.41839096)
"50","01035","Alabama","Conecuh",129.241245782074,"Ocean Springs Fresh Market","500016","28059","Jackson","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Mushrooms;Nuts;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;",TRUE,c(851722.298276237, 968611.530047069)
"51","01085","Alabama","Lowndes",167.008976808035,"The Common Market Georgia","500112","13121","Fulton","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Coffee/tea;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;Tofu/non-animal protein;",TRUE,c(876178.114063421, 1052156.99929992)
"52","23015","Maine","Lincoln",29.4014981301812,"Crown O'Maine Organic Cooperative","501141","23011","Kennebec",NA,TRUE,c(2085042.57074194, 2633832.04743975)
"53","23017","Maine","Oxford",39.7396933182999,"Harvesting Good","501113","23001","Androscoggin",NA,TRUE,c(1979186.44917587, 2654228.01265086)
"54","24005","Maryland","Baltimore",9.99754331420251,"Chesapeake Farm to Table","500163","24005","Baltimore","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Cut flowers;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Mushrooms;Poultry/fowl meat and products;Red/other non-poultry meat and products;Wild harvested forest products;",FALSE,c(1639221.24466166, 1994328.62096182)
"55","24025","Maryland","Harford",22.3690939595395,"Chesapeake Farm to Table","500163","24005","Baltimore","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Cut flowers;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Mushrooms;Poultry/fowl meat and products;Red/other non-poultry meat and products;Wild harvested forest products;",TRUE,c(1663863.91102019, 2010718.818072)
"56","24041","Maryland","Talbot",1.24839799842907,"Chesapeake Harvest","500162","24041","Talbot","Fresh fruits;Fresh vegetables;",FALSE,c(1700578.68015673, 1928006.86936035)
"57","24015","Maryland","Cecil",25.0771917771,"Lutheran Community Services (LCS)","501145","10003","New Castle",NA,TRUE,c(1694970.33966962, 2018472.39731234)
"58","25009","Massachusetts","Essex",6.7659166840283,"New Entry Food Hub","501105","25009","Essex",NA,FALSE,c(2017190.63695051, 2453561.31173591)
"59","25005","Massachusetts","Bristol",9.94199014475852,"Hope & Main","501131","44001","Bristol",NA,FALSE,c(2029825.88279386, 2355496.84680311)
"60","25021","Massachusetts","Norfolk",11.4393605011997,"Red Tomato","500123","25021","Norfolk","Fresh fruits;Fresh vegetables;",FALSE,c(2011549.17574664, 2392685.27203916)
"61","26041","Michigan","Delta",23.4076421465457,"Akwonderkandco","501183","26041","Delta",NA,TRUE,c(703814.95001444, 2581513.53939564)
"62","26055","Michigan","Grand Traverse",5.22690954836653,"MI Farm Co-op","501201","26055","Grand Traverse",NA,FALSE,c(824426.572121238, 2454158.83522985)
"63","26007","Michigan","Alpena",68.1698313021209,"Coveyou Scenic Farm Market","501192","26047","Emmet",NA,TRUE,c(970941.479878637, 2512873.08670913)
"64","26103","Michigan","Marquette",13.8418428435072,"Upper Peninsula Food Exchange","500110","26103","Marquette","Fresh fruits;Fresh vegetables;Dairy products;Eggs;Herbs;Honey;Maple products;",FALSE,c(643436.950116684, 2632947.72908131)
"65","26147","Michigan","St. Clair",39.2484198305627,"Clarkston Family Farm","501189","26125","Oakland",NA,TRUE,c(1077592.30172368, 2290941.22954174)
"66","26071","Michigan","Iron",10.3069596304661,"Taproot Community Farm INC","501206","26071","Iron",NA,FALSE,c(577031.821755769, 2602699.18528464)
"67","27027","Minnesota","Clay",13.7185999380306,"Moorhead Farmers Market Food Hub","501175","27027","Clay",NA,FALSE,c(-37546.5649558619, 2655834.85510678)
"68","27091","Minnesota","Martin",103.095191235246,"Real Food Hub","501178","27067","Kandiyohi",NA,TRUE,c(116341.603037905, 2298874.17236318)
"69","28033","Mississippi","DeSoto",3.69585661097116,"4Rivers Fresh Foods","500073","28033","DeSoto","Fresh fruits;Fresh vegetables;Baked goods;Coffee/tea;Dairy products;Eggs;Herbs;Grains/flour;Honey;Mushrooms;",FALSE,c(544417.990590397, 1330075.60130718)
"70","28157","Mississippi","Wilkinson",76.1209363565163,"Acadiana Food Hub","500170","22055","Lafayette","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Herbs;Grains/flour;Honey;",TRUE,c(445394.688082233, 909374.095426497)
"71","29113","Missouri","Lincoln",19.493952626273,"Farmer Girl Grassfed & Pasture Raised Meats","501172","29219","Warren",NA,FALSE,c(431892.33907457, 1792865.3804137)
"72","30001","Montana","Beaverhead",121.127966300997,"208 Food Hub","501293","16019","Bonneville",NA,TRUE,c(-1320771.7129548, 2577986.73642856)
"73","30105","Montana","Valley",200.38423550524,"Yellowstone Valley Food Hub","500221","30111","Yellowstone","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Cut flowers;Dairy products;Eggs;Herbs;Grains/flour;Honey;Mushrooms;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(-796590.930851958, 2862962.60636963)
"74","31033","Nebraska","Cheyenne",116.062134852092,"LoCo Food Distribution","500004","08069","Larimer","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;",TRUE,c(-581354.943739601, 2044995.44375466)
"75","31049","Nebraska","Deuel",146.748064144275,"LoCo Food Distribution","500004","08069","Larimer","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;",TRUE,c(-527300.889456486, 2029066.60502365)
"76","34015","New Jersey","Gloucester",14.0443619307102,"Philadelphia Wholesale Produce Market","500052","42101","Philadelphia","Fresh fruits;Fresh vegetables;Herbs;Mushrooms;",FALSE,c(1757885.20673967, 2048989.09115042)
"77","36013","New York","Chautauqua",76.5854459378875,"Clarion River Organics","500030","42031","Clarion","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Dairy products;Eggs;Herbs;Grains/flour;Maple products;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(1356952.49863405, 2255462.30669281)
"78","36045","New York","Jefferson",40.828251475438,"North Star Food Hub","500201","36049","Lewis","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Dry beans;Eggs;Fish/seafood;Herbs;Grains/flour;Honey;Juices/non-alcoholic ciders;Maple products;Mushrooms;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(1591590.50636265, 2508571.93563061)
"79","36059","New York","Nassau",6.89607972679515,"Schare & Associates, INC","500082","36059","Nassau","Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Juices/non-alcoholic ciders;Wine/spirits/beer/hard cider;Juice Concentrates, Frozen Fruits and Purees;",FALSE,c(1860002.60099986, 2189400.76545873)
"80","37133","North Carolina","Onslow",30.7492640139213,"Feast Down East Food Hub","500135","37141","Pender","Fresh fruits;Fresh vegetables;Dairy products;Eggs;Herbs;Honey;Mushrooms;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(1675854.40508325, 1461076.21450329)
"81","37009","North Carolina","Ashe",18.1502689591976,"High Country Food Hub","500191","37189","Watauga","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Fish/seafood;Herbs;Honey;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;",FALSE,c(1282982.86065018, 1585416.14459265)
"82","37169","North Carolina","Stokes",12.0642417350035,"Pilot Mountain Pride","500019","37171","Surry","Fresh fruits;Fresh vegetables;Herbs;Mushrooms;",FALSE,c(1394142.74543789, 1599616.38414939)
"83","37053","North Carolina","Currituck",33.4155090462322,"The Community Feed at Berkley","501278","51710","Norfolk",NA,TRUE,c(1763489.81767728, 1670265.01318547)
"84","37173","North Carolina","Swain",17.4971523933327,"WNC Farm to Table","501794","37099","Jackson","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Grains/flour;Honey;Maple products;Mushrooms;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;",FALSE,c(1121691.54912615, 1455197.31385127)
"85","37131","North Carolina","Northampton",41.8950322159552,"Working Landscapes","501214","37185","Warren",NA,TRUE,c(1642308.11769385, 1646789.87401969)
"86","38035","North Dakota","Grand Forks",78.497982594281,"Moorhead Farmers Market Food Hub","501175","27027","Clay",NA,TRUE,c(-109739.378880746, 2770364.68361166)
"87","38067","North Dakota","Pembina",134.519785860135,"Moorhead Farmers Market Food Hub","501175","27027","Clay",NA,TRUE,c(-115374.67864157, 2863594.50173608)
"88","39123","Ohio","Ottawa",43.9845320148555,"Cedar Field Farm","501188","26163","Wayne",NA,TRUE,c(1061403.02425867, 2131126.55860895)
"89","45051","South Carolina","Horry",51.9366594880569,"Men and Women United for Youth and Families or Men and Women United for Youth & Families, CDC","501215","37047","Columbus",NA,TRUE,c(1552343.07685658, 1345445.3132802)
"90","02240","Alaska","Southeast Fairbanks",170.174569921685,"Fairbanks Food Hub","501297","02090","Fairbanks North Star",NA,TRUE,c(-2620349.93408991, 5095737.97949535)
"91","40079","Oklahoma","Le Flore",95.0276519952355,"Market Center of the Ozarks","501301","05143","Washington",NA,TRUE,c(117501.226643758, 1316395.36639748)
