"county_fips","state","county_name","distance_nearest_farmersmarket_mile","distance_nearest_hub_mile","number_foodhub","has_hub","all_sales","d2c_sales_pct","local_sales_pct","intermediated_sales_pct_derived","SPMA","SPMA_0_100","share"
"01003","Alabama","Baldwin",7.18648391544245,69.177649800237,NA,FALSE,143685000,0.702230573,1.66823256,99.297769427,49350.95303039,40.2350983854275,NA
"01069","Alabama","Houston",5.17874084146108,156.100837458052,NA,FALSE,112149000,0.123942256,0.720470071,99.876057744,9779.52562127653,32.8799282285303,0.234369006520905
"01005","Alabama","Barbour",17.3135726323274,131.975293213092,NA,FALSE,217364000,0.03128393,0.183563054,99.96871607,12702.5924825918,34.068198389906,0.0774597495527728
"01119","Alabama","Sumter",24.9342142863604,116.698250202467,NA,FALSE,20233000,0.133445367,2.204319715,99.866554633,1527.14726491581,24.4443606262915,0.0363498674744415
"05091","Arkansas","Miller",11.4066533300879,135.693246669701,NA,FALSE,77879000,0.026964907,NA,99.973035093,4389.90402546716,29.2406687689695,0.789689034369885
"05133","Arkansas","Sevier",4.37343176954961,123.211312421759,NA,FALSE,322620000,0.000929887,NA,99.999070113,21408.1755251368,36.439974431835,NA
"05093","Arkansas","Mississippi",29.0170586720453,43.192290921291,NA,FALSE,462652000,0.002593742,NA,99.997406258,248002.271317095,47.5715486354113,NA
"06037","California","Los Angeles",7.93281092741337,16.1173873518815,4,TRUE,199849000,1.354522705,4.595970154,98.645477295,801925.693129056,52.9045095067783,0.452686534696541
"06087","California","Santa Cruz",1.50730684807633,15.556749556058,2,TRUE,706206000,1.113272905,7.555160999,98.886727095,6345997.52238904,62.304471698477,15.8754423704115
"06097","California","Sonoma",6.23730822734946,21.0208031967597,1,TRUE,976394000,19.71744919,42.96380234,80.28255081,6722565.04014619,62.5664242629992,15.0593537905191
"06013","California","Contra Costa",5.39722106209743,8.8708209122233,2,TRUE,93429000,1.556262016,NA,98.443737984,1218719.48961167,54.8064372609697,2.95263157894737
"06003","California","Alpine",24.0571539648361,46.4406930161163,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"08067","Colorado","La Plata",2.32701599066502,39.8469945477095,NA,FALSE,33074000,1.998548746,7.679748535,98.001451254,142482.252823803,45.0530735379577,0.0953886693017128
"08113","Colorado","San Miguel",10.6582294382705,10.9741648757237,1,TRUE,5418000,4.189737797,NA,95.810262203,45101.3336384329,39.8259233753469,NA
"10001","Delaware","Kent",5.49080764434474,34.4629476984595,NA,FALSE,570666000,NA,NA,NA,NA,NA,0.236069594542807
"12123","Florida","Taylor",4.7645426138729,113.775123042339,NA,FALSE,22001000,0.018180992,NA,99.981819008,1875.49991741166,25.3775222677894,0.463908450704225
"12017","Florida","Citrus",3.79054882864962,24.7587249417171,NA,FALSE,23663000,2.26091361,NA,97.73908639,74964.3892387696,42.1347975742225,2.16927409261577
